"['106235870', '116.064394', '39.64325878']"
"['106235870', '116.0642287', '39.64299044']"
"['106086696', '116.0635256', '39.66871088']"
"['106086696', '116.0635176', '39.6683018']"
"['106086696', '116.0635256', '39.66871088']"
"['106086696', '116.0635176', '39.6683018']"
"['106086696', '116.0635256', '39.66871088']"
"['106086696', '116.0635176', '39.6683018']"
"['106086696', '116.0635256', '39.66871088']"
"['106086696', '116.0635176', '39.6683018']"
"['106105884', '116.0641714', '39.66545647']"
"['106105884', '116.0642205', '39.66545355']"
"['106105884', '116.0641714', '39.66545647']"
"['106105884', '116.0642205', '39.66545355']"
"['106105884', '116.0641714', '39.66545647']"
"['106105884', '116.0642205', '39.66545355']"
"['8630957922', '116.0554153', '39.70152328']"
"['8630957922', '116.0555486', '39.70142454']"
"['8630957922', '116.0554153', '39.70152328']"
"['8630957922', '116.0555486', '39.70142454']"
"['8630957922', '116.0554153', '39.70152328']"
"['8630957922', '116.0555486', '39.70142454']"
"['8630957922', '116.0554153', '39.70152328']"
"['8630957922', '116.0555486', '39.70142454']"
"['8630957922', '116.0554153', '39.70152328']"
"['8630957922', '116.0555486', '39.70142454']"
"['8630957922', '116.0554153', '39.70152328']"
"['8630957922', '116.0555486', '39.70142454']"
"['8630957922', '116.0554153', '39.70152328']"
"['8630957922', '116.0555486', '39.70142454']"
"['8630957922', '116.0554153', '39.70152328']"
"['8630957922', '116.0555486', '39.70142454']"
"['8630957922', '116.0554153', '39.70152328']"
"['8630957922', '116.0555486', '39.70142454']"
"['8630957922', '116.0554153', '39.70152328']"
"['8630957922', '116.0555486', '39.70142454']"
"['106210306', '116.0569777', '39.70945663']"
"['106210306', '116.0569657', '39.70950562']"
"['106210306', '116.0569777', '39.70945663']"
"['106210306', '116.0569657', '39.70950562']"
"['106210306', '116.0569777', '39.70945663']"
"['106210306', '116.0569657', '39.70950562']"
"['106210306', '116.0569777', '39.70945663']"
"['106210306', '116.0569657', '39.70950562']"
"['106210306', '116.0569777', '39.70945663']"
"['106210306', '116.0569657', '39.70950562']"
"['106210306', '116.0569777', '39.70945663']"
"['106210306', '116.0569657', '39.70950562']"
"['106709923', '116.0630509', '39.7172544']"
"['106709923', '116.0630809', '39.71724745']"
"['106709923', '116.0630509', '39.7172544']"
"['106709923', '116.0630809', '39.71724745']"
"['106709923', '116.0630509', '39.7172544']"
"['106709923', '116.0630809', '39.71724745']"
"['106709923', '116.0630509', '39.7172544']"
"['106709923', '116.0630809', '39.71724745']"
"['106709923', '116.0630509', '39.7172544']"
"['106709923', '116.0630809', '39.71724745']"
"['106709923', '116.0630509', '39.7172544']"
